country,region,population,area (km²),gdp ($ per capita),birthrate,deathrate,density (per km²),date of admission,membership duration (days)
Belize,LATIN AMER. & CARIB,287730,22966,4900.0,28.84,5.72,12.5,1981-09-25,15804
Benin,SUB-SAHARAN AFRICA,7862944,112620,1100.0,38.85,12.22,69.8,1960-09-20,23479
Bermuda,NORTHERN AMERICA,65773,53,36000.0,11.4,7.74,1241.0,,0
Bhutan,ASIA (EX. NEAR EAST),2279723,47000,1300.0,33.65,12.7,48.5,1971-09-21,19461
Bolivia,LATIN AMER. & CARIB,8989046,1098580,2400.0,23.3,7.53,8.2,,0
Bosnia & Herzegovina,EASTERN EUROPE,4498976,51129,6100.0,8.77,8.27,88.0,,0
Botswana,SUB-SAHARAN AFRICA,1639833,600370,9000.0,23.08,29.5,2.7,1966-10-17,21261
Brazil,LATIN AMER. & CARIB,188078227,8511965,7600.0,16.56,6.17,22.1,1945-10-24,28924
British Virgin Is.,LATIN AMER. & CARIB,23098,153,16000.0,14.89,4.42,151.0,,0
Brunei,ASIA (EX. NEAR EAST),379444,5770,18600.0,18.79,3.45,65.8,1984-09-21,14712
Bulgaria,EASTERN EUROPE,7385367,110910,7600.0,9.65,14.27,66.6,1955-12-14,25221
Burkina Faso,SUB-SAHARAN AFRICA,13902972,274200,1100.0,45.62,15.6,50.7,1960-09-20,23479
Burma,ASIA (EX. NEAR EAST),47382633,678500,1800.0,17.91,9.83,69.8,,0
Burundi,SUB-SAHARAN AFRICA,8090068,27830,600.0,42.22,13.46,290.7,1962-09-18,22751
Cambodia,ASIA (EX. NEAR EAST),13881427,181040,1900.0,26.9,9.06,76.7,1955-12-14,25221
Cameroon,SUB-SAHARAN AFRICA,17340702,475440,1800.0,33.89,13.47,36.5,1960-09-20,23479
Canada,NORTHERN AMERICA,33098932,9984670,29800.0,10.78,7.8,3.3,1945-11-09,28908
Cape Verde,SUB-SAHARAN AFRICA,420979,4033,1400.0,24.87,6.55,104.4,,0
Cayman Islands,LATIN AMER. & CARIB,45436,262,35000.0,12.74,4.89,173.4,,0
Central African Rep.,SUB-SAHARAN AFRICA,4303356,622984,1100.0,33.91,18.65,6.9,,0
Chad,SUB-SAHARAN AFRICA,9944201,1284000,1200.0,45.73,16.38,7.7,1960-09-20,23479
Chile,LATIN AMER. & CARIB,16134219,756950,9900.0,15.23,5.81,21.3,1945-10-24,28924
China,ASIA (EX. NEAR EAST),1313973713,9596960,5000.0,13.25,6.97,136.9,1945-10-24,28924
Colombia,LATIN AMER. & CARIB,43593035,1138910,6300.0,20.48,5.58,38.3,1945-11-05,28912
Comoros,SUB-SAHARAN AFRICA,690948,2170,700.0,36.93,8.2,318.4,1975-11-12,17948
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,62660551,2345410,700.0,43.69,13.27,26.7,,0
"Congo, Repub. of the",SUB-SAHARAN AFRICA,3702314,342000,700.0,42.57,12.93,10.8,,0
Cook Islands,OCEANIA,21388,240,5000.0,21.0,,89.1,,0
Costa Rica,LATIN AMER. & CARIB,4075261,51100,9100.0,18.32,4.36,79.8,1945-11-02,28915
Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843,322460,1400.0,35.11,14.84,54.8,,0
Croatia,EASTERN EUROPE,4494749,56542,10600.0,9.61,11.48,79.5,1992-05-22,11912
Cuba,LATIN AMER. & CARIB,11382820,110860,2900.0,11.89,7.22,102.7,1945-10-24,28924
Cyprus,NEAR EAST,784301,9250,19200.0,12.56,7.68,84.8,1960-09-20,23479
Czech Republic,EASTERN EUROPE,10235455,78866,15700.0,9.02,10.59,129.8,,0
Denmark,WESTERN EUROPE,5450661,43094,31100.0,11.13,10.36,126.5,1945-10-24,28924
Djibouti,SUB-SAHARAN AFRICA,486530,23000,1300.0,39.53,19.31,21.2,1977-09-20,17270
Dominica,LATIN AMER. & CARIB,68910,754,5400.0,15.27,6.73,91.4,1978-12-18,16816
Dominican Republic,LATIN AMER. & CARIB,9183984,48730,6000.0,23.22,5.73,188.5,1945-10-24,28924
East Timor,ASIA (EX. NEAR EAST),1062777,15007,500.0,26.99,6.24,70.8,,0
Ecuador,LATIN AMER. & CARIB,13547510,283560,3300.0,22.29,4.23,47.8,1945-12-21,28866
Egypt,NORTHERN AFRICA,78887007,1001450,4000.0,22.94,5.23,78.8,1945-10-24,28924
El Salvador,LATIN AMER. & CARIB,6822378,21040,4800.0,26.61,5.78,324.3,1945-10-24,28924
Equatorial Guinea,SUB-SAHARAN AFRICA,540109,28051,2700.0,35.59,15.06,19.3,1968-11-12,20504
Eritrea,SUB-SAHARAN AFRICA,4786994,121320,700.0,34.33,9.6,39.5,1993-05-28,11541
Estonia,BALTICS,1324333,45226,12300.0,10.04,13.25,29.3,1991-09-17,12160
Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,700.0,37.98,14.86,66.3,1945-11-13,28904
Faroe Islands,WESTERN EUROPE,47246,1399,22000.0,14.05,8.7,33.8,,0
Fiji,OCEANIA,905949,18270,5800.0,22.55,5.65,49.6,1970-10-13,19804
Finland,WESTERN EUROPE,5231372,338145,27400.0,10.45,9.86,15.5,1955-12-14,25221
France,WESTERN EUROPE,60876136,547030,27600.0,11.99,9.14,111.3,1945-10-24,28924
French Guiana,LATIN AMER. & CARIB,199509,91000,8300.0,20.46,4.88,2.2,,0
French Polynesia,OCEANIA,274578,4167,17500.0,16.68,4.69,65.9,,0
Gabon,SUB-SAHARAN AFRICA,1424906,267667,5500.0,36.16,12.25,5.3,1960-09-20,23479
"Gambia, The",SUB-SAHARAN AFRICA,1641564,11300,1700.0,39.37,12.25,145.3,,0
Gaza Strip,NEAR EAST,1428757,360,600.0,39.45,3.8,3968.8,,0
Georgia,C.W. OF IND. STATES,4661473,69700,2500.0,10.41,9.23,66.9,1992-07-31,11842
Germany,WESTERN EUROPE,82422299,357021,27600.0,8.25,10.62,230.9,1973-09-18,18733
Ghana,SUB-SAHARAN AFRICA,22409572,239460,2200.0,30.52,9.72,93.6,1957-03-08,24771
Gibraltar,WESTERN EUROPE,27928,7,17500.0,10.74,9.31,3989.7,,0
Greece,WESTERN EUROPE,10688058,131940,20000.0,9.68,10.24,81.0,1945-10-25,28923
Greenland,NORTHERN AMERICA,56361,2166086,20000.0,15.93,7.84,0.0,,0
Grenada,LATIN AMER. & CARIB,89703,344,5000.0,22.08,6.88,260.8,1974-09-17,18369
Guadeloupe,LATIN AMER. & CARIB,452776,1780,8000.0,15.05,6.09,254.4,,0
Guam,OCEANIA,171019,541,21000.0,18.79,4.48,316.1,,0
Guatemala,LATIN AMER. & CARIB,12293545,108890,4100.0,29.88,5.2,112.9,1945-11-21,28896
Guernsey,WESTERN EUROPE,65409,78,20000.0,8.81,10.01,838.6,,0
Guinea,SUB-SAHARAN AFRICA,9690222,245857,2100.0,41.76,15.48,39.4,1958-12-12,24127
Guinea-Bissau,SUB-SAHARAN AFRICA,1442029,36120,800.0,37.22,16.53,39.9,,0
Guyana,LATIN AMER. & CARIB,767245,214970,4000.0,18.28,8.28,3.6,1966-09-20,21288
Haiti,LATIN AMER. & CARIB,8308504,27750,1600.0,36.44,12.17,299.4,1945-10-24,28924
Honduras,LATIN AMER. & CARIB,7326496,112090,2600.0,28.24,5.28,65.4,1945-12-17,28870
Hong Kong,ASIA (EX. NEAR EAST),6940432,1092,28800.0,7.29,6.29,6355.7,,0
Hungary,EASTERN EUROPE,9981334,93030,13900.0,9.72,13.11,107.3,1955-12-14,25221
Iceland,WESTERN EUROPE,299388,103000,30900.0,13.64,6.72,2.9,1946-11-19,28533
India,ASIA (EX. NEAR EAST),1095351995,3287590,2900.0,22.01,8.18,333.2,1945-10-30,28918
Indonesia,ASIA (EX. NEAR EAST),245452739,1919440,3200.0,20.34,6.25,127.9,1950-09-28,27124
Iran,ASIA (EX. NEAR EAST),68688433,1648000,7000.0,17.0,5.55,41.7,,0
Iraq,NEAR EAST,26783383,437072,1500.0,31.98,5.37,61.3,1945-12-21,28866
Ireland,WESTERN EUROPE,4062235,70280,29600.0,14.45,7.82,57.8,1955-12-14,25221
Isle of Man,WESTERN EUROPE,75441,572,21000.0,11.05,11.19,131.9,,0
Israel,NEAR EAST,6352117,20770,19800.0,17.97,6.18,305.8,1949-05-11,27629
Italy,WESTERN EUROPE,58133509,301230,26700.0,8.72,10.4,193.0,1955-12-14,25221
Jamaica,LATIN AMER. & CARIB,2758124,10991,3900.0,20.82,6.52,250.9,1962-09-18,22751
Japan,ASIA (EX. NEAR EAST),127463611,377835,28200.0,9.37,9.16,337.4,1956-12-18,24851
Jersey,WESTERN EUROPE,91084,116,24800.0,9.3,9.28,785.2,,0
Jordan,NEAR EAST,5906760,92300,4300.0,21.25,2.65,64.0,1955-12-14,25221
Kazakhstan,C.W. OF IND. STATES,15233244,2717300,6300.0,16.0,9.42,5.6,1992-03-02,11993
Kenya,SUB-SAHARAN AFRICA,34707817,582650,1000.0,39.72,14.02,59.6,1963-12-16,22297
Kiribati,OCEANIA,105432,811,800.0,30.65,8.26,130.0,1999-09-14,9241
"Korea, North",ASIA (EX. NEAR EAST),23113019,120540,1300.0,15.54,7.13,191.7,,0
"Korea, South",ASIA (EX. NEAR EAST),48846823,98480,17800.0,10.0,5.85,496.0,,0
Kuwait,NEAR EAST,2418393,17820,19000.0,21.94,2.41,135.7,1963-05-14,22513
Kyrgyzstan,C.W. OF IND. STATES,5213898,198500,1600.0,22.8,7.08,26.3,1992-03-02,11993
Laos,ASIA (EX. NEAR EAST),6368481,236800,1700.0,35.49,11.55,26.9,,0
